id_envío,origen,destino,fecha_envío,fecha_entrega,monto_envío,duración_envío_meses
45,Arequipa,Trujillo,2022-10-11,2023-11-28,62.21,13
12,Lima,Trujillo,2022-01-21,2022-07-09,847.67,5
42,Piura,Trujillo,2022-12-19,2023-06-08,797.43,5
26,Piura,Trujillo,2022-02-28,2023-02-07,360.84,11
99,Lima,Piura,2022-03-10,2022-08-06,680.95,4
37,Cusco,Arequipa,2022-08-04,2023-02-05,145.89,6
100,Trujillo,Trujillo,2022-02-15,2023-12-17,456.54,22
43,Cusco,Trujillo,2022-03-10,2022-07-02,194.23,3
67,Cusco,Cusco,2022-03-29,2023-06-15,431.59,14
70,Arequipa,Lima,2022-02-18,2022-04-23,645.28,2
52,Arequipa,No identificado,2023-07-29,2023-12-10,50.82,4
47,Trujillo,Arequipa,2023-11-25,2023-11-25,514.64,0
48,Cusco,No identificado,2022-03-26,2023-10-31,311.18,19
6,Piura,Trujillo,2022-11-06,2023-11-20,757.16,12
29,No identificado,Piura,2022-02-21,2023-05-05,-1,14
21,Piura,Arequipa,2022-07-02,2023-09-09,376.15,14
12,Trujillo,Cusco,2023-01-16,2023-06-25,673.88,5
66,Cusco,Trujillo,2022-05-29,2022-09-25,390.1,3
54,Piura,Piura,2022-01-21,2022-09-12,487.11,7
39,Arequipa,Piura,2023-08-24,2023-12-31,251.41,4
24,No identificado,Piura,2023-05-31,2023-09-12,203.06,3
88,Piura,Piura,2023-05-30,2023-12-20,790.71,6
30,Piura,Arequipa,2022-12-07,2023-08-30,630.38,8
61,Arequipa,No identificado,2023-03-05,2023-08-05,909.37,5
59,No identificado,No identificado,2022-10-09,,548.43,
90,No identificado,Arequipa,2022-06-10,2023-10-10,556.67,16
53,Trujillo,Arequipa,2022-10-15,2023-09-04,176.79,10
72,Arequipa,No identificado,2022-03-16,2022-06-14,129.95,3
32,No identificado,Piura,2022-07-07,2023-07-04,344.51,12
59,Trujillo,Lima,2022-08-13,2023-05-20,-1,9
15,No identificado,Arequipa,2022-12-06,2023-04-05,279.55,4
42,Piura,Arequipa,2022-03-13,2023-09-04,618.67,18
59,Cusco,Cusco,2023-05-17,2023-10-17,309.73,5
92,Piura,Trujillo,2022-03-31,2022-11-16,475.99,7
16,Trujillo,Cusco,2022-10-21,2023-06-11,824.56,7
76,Arequipa,Arequipa,2022-11-26,2022-12-17,583.06,0
97,Trujillo,Piura,2022-03-19,2022-08-10,128.69,4
87,Piura,Cusco,2022-09-29,2023-09-09,62.31,11
50,Cusco,No identificado,2022-04-23,2023-11-16,374.27,19
74,No identificado,Lima,2023-09-15,2023-12-31,720.15,3
17,Trujillo,Arequipa,2022-03-07,2022-06-20,257.28,3
94,Trujillo,Cusco,2022-02-13,2022-11-10,325.01,9
32,No identificado,Piura,2022-10-23,2023-01-25,636.94,3
12,No identificado,Piura,2022-08-05,2022-12-02,157.24,3
4,Arequipa,Arequipa,2022-10-06,2023-12-06,-1,14
5,Piura,Cusco,2023-04-03,2023-08-14,999.04,4
88,No identificado,Lima,2022-09-06,2023-12-22,374.33,15
82,Trujillo,No identificado,2022-04-03,2023-11-26,787.26,20
84,Cusco,Arequipa,2022-07-09,2022-11-17,726.88,4
22,Arequipa,Cusco,2022-05-22,,775.83,
19,Cusco,Arequipa,2022-10-19,2023-03-12,207.28,4
90,Arequipa,No identificado,2022-07-23,2022-08-07,713.59,0
