id_transaccion,id_cliente,fecha_transaccion,monto,tipo_transaccion,estado_transaccion,last_transaction_days
311,1,2022-03-17,9145.8,Retiro,Completada,32
93,1,2022-02-13,6149.79,Depósito,Pendiente,261
395,1,2021-05-28,5629.33,Transferencia,Completada,
257,1,2022-09-22,1972.16,Retiro,Completada,189
449,1,2023-12-18,1862.8,Transferencia,Completada,452
79,2,2023-07-07,8698.65,Depósito,Fallida,647
110,2,2023-11-07,7271.92,Transferencia,Completada,89
384,2,2023-08-10,6398.2,Transferencia,Indeterminado,34
192,2,2021-09-28,2151.01,Transferencia,Fallida,103
436,2,2021-02-08,1890.75,No identificado,Pendiente,
139,2,2021-06-17,384.14,No identificado,Indeterminado,129
373,3,2021-06-03,8498.73,Retiro,Pendiente,
379,3,2021-09-24,2151.6,Depósito,Pendiente,113
283,4,2022-12-29,9251.25,No identificado,Completada,348
500,4,2023-10-25,7028.24,Retiro,Pendiente,300
44,4,2022-01-15,5479.98,Transferencia,Pendiente,201
177,4,2023-11-19,1937.97,Depósito,Fallida,25
163,4,2021-06-28,-1,Transferencia,Invalido,
189,5,2023-11-16,7250.88,Retiro,Pendiente,576
266,5,2022-03-22,4677.37,No identificado,Pendiente,
446,5,2022-04-19,1844.46,Depósito,Pendiente,28
338,6,2023-06-01,7546.72,Transferencia,Indeterminado,63
57,6,2023-03-30,7095.26,Transferencia,Completada,313
113,6,2022-05-21,6349.79,Transferencia,Pendiente,
162,6,2023-12-31,4360.22,No identificado,Pendiente,213
346,7,2023-03-23,2741.53,Depósito,Indeterminado,
394,7,2023-06-23,434.75,Transferencia,Indeterminado,92
173,8,2023-06-04,1734.37,Transferencia,Pendiente,801
282,8,2021-03-25,790.69,Depósito,Pendiente,
361,9,2022-07-27,9659.64,Transferencia,Indeterminado,
227,9,2023-06-08,8987.5,Retiro,Completada,84
200,9,2022-11-23,8633.64,Transferencia,Pendiente,119
274,9,2023-12-22,3258.47,No identificado,Indeterminado,197
208,9,2023-03-16,2699.09,Retiro,Indeterminado,113
134,10,2023-01-31,6178.46,Depósito,Fallida,531
245,10,2021-08-18,2675.92,No identificado,Completada,166
320,10,2021-03-05,2345.51,No identificado,Fallida,
149,11,2023-06-02,8816.43,Depósito,Fallida,767
162,11,2023-11-09,5706.82,Retiro,Pendiente,160
273,11,2021-04-26,2544.49,Retiro,Completada,
166,12,2022-07-02,7079.18,No identificado,Pendiente,205
180,12,2021-12-09,2896.2,Retiro,Indeterminado,
232,12,2023-05-08,2773.15,No identificado,Indeterminado,310
391,13,2022-08-20,219.57,Retiro,Fallida,381
95,13,2021-08-04,-1,Depósito,Indeterminado,
231,14,2022-07-18,9233.57,Depósito,Completada,42
314,14,2022-06-06,5799.83,Retiro,Pendiente,
55,15,2021-04-19,4682.08,Retiro,Pendiente,
144,15,2022-09-04,4530.12,Retiro,Pendiente,294
116,15,2021-11-14,2001.03,No identificado,Fallida,209
432,16,2023-11-05,9998.65,Depósito,Completada,142
396,16,2023-12-31,8765.1,Retiro,Indeterminado,56
442,16,2023-06-16,8701.73,Depósito,Indeterminado,645
284,16,2021-09-09,153.85,No identificado,Completada,
411,17,2022-07-17,7420.62,Transferencia,Fallida,
108,17,2023-07-02,2929.18,No identificado,Indeterminado,350
446,18,2021-03-09,8946.99,Retiro,Fallida,
255,18,2022-01-29,2396.58,Transferencia,Completada,326
460,18,2023-12-31,-1,Transferencia,Completada,701
104,19,2021-06-15,8569.7,No identificado,Fallida,
203,19,2021-10-03,4492.38,No identificado,Indeterminado,110
480,19,2022-07-03,3574.25,Retiro,Fallida,273
228,19,2023-01-13,2336.74,Retiro,Invalido,194
232,20,2022-05-02,6789.77,No identificado,Fallida,137
180,20,2021-12-16,6763.26,Depósito,Indeterminado,
2,20,2023-01-08,2335.6,Retiro,Fallida,53
430,20,2023-06-25,1181.01,Depósito,Indeterminado,168
343,20,2022-11-16,-1,Retiro,Pendiente,198
4,21,2023-09-15,7804.79,Retiro,Completada,20
104,21,2023-08-26,4845.76,Transferencia,Fallida,265
165,21,2022-12-04,4408.22,Depósito,Indeterminado,174
139,21,2023-12-20,3282.54,No identificado,Pendiente,96
494,21,2022-06-13,2141.7,Depósito,Indeterminado,
188,22,2023-10-06,5909.7,Depósito,Indeterminado,
454,23,2023-03-18,7944.67,No identificado,Indeterminado,167
381,23,2022-06-05,5069.85,No identificado,Completada,148
89,23,2022-01-08,4789.71,No identificado,Fallida,
459,23,2022-10-02,3851.12,No identificado,Fallida,119
257,24,2022-01-29,7320.11,Retiro,Completada,213
144,24,2023-03-18,5078.37,Retiro,Pendiente,413
145,24,2021-06-30,3507.08,No identificado,Completada,
399,25,2023-12-10,678.5,Transferencia,Completada,496
168,25,2022-08-01,662.72,Depósito,Completada,307
170,25,2021-09-28,-1,Depósito,Indeterminado,
370,26,2021-10-25,9988.15,No identificado,Completada,33
179,26,2021-09-22,8990.76,No identificado,Indeterminado,179
352,26,2021-03-27,8959.37,Retiro,Fallida,
489,26,2022-11-22,6367.81,Depósito,Pendiente,393
114,27,2021-10-10,1890.36,No identificado,Indeterminado,
364,27,2022-06-25,-1,Transferencia,Invalido,258
387,28,2021-12-09,7765.12,No identificado,Completada,245
54,28,2021-04-08,2459.97,Transferencia,Fallida,
442,29,2021-08-31,9252.54,No identificado,Fallida,
429,29,2023-09-14,8079.31,Depósito,Completada,94
439,29,2022-05-13,6421.26,Depósito,Fallida,255
400,29,2023-06-12,5647.98,Depósito,Fallida,276
332,29,2022-09-09,2000.66,Transferencia,Indeterminado,119
249,29,2023-12-12,1302.29,Depósito,Fallida,89
351,30,2021-04-21,8534.64,Transferencia,Pendiente,
